#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Visērtākie attiecību aspektā ir vidējie bērni, jo visa bērnības pieredze ir saistīta ar saskarsmes treniņu, gan ar vecākiem, gan jaunākiem bērniem.
1-1	0-10	Visērtākie	afmpnys	*	ērts	_	_	root	basic	1-1	
1-2	11-20	attiecību	ncfpg4	*	attiecība	_	_	nmod	basic	1-3	
1-3	21-28	aspektā	ncmsl1	*	aspekts	_	_	obl	basic	1-1	
1-4	29-31	ir	vcnipii30an	*	būt	_	_	cop	basic	1-1	
1-5	32-39	vidējie	armpnyp	*	vidējs	*->1-1	*[1]	amod	basic	1-6	
1-6	40-45	bērni	ncmpn1	*	bērns	*->1-1	*[1]	nsubj	basic	1-1	
1-7	45-46	,	zc	*	,	_	_	punct	basic	1-13	
1-8	47-49	jo	cs	*	jo	_	_	mark	basic	1-13	
1-9	50-54	visa	pg0fsnn	*	visa	_	_	det	basic	1-11	
1-10	55-63	bērnības	ncfsg4	*	bērnība	_	_	nmod	basic	1-11	
1-11	64-72	pieredze	ncfsn5	*	pieredze	_	_	nsubj	basic	1-13	
1-12	73-75	ir	vcnipii30an	*	būt	_	_	aux	basic	1-13	
1-13	76-84	saistīta	vmnpdfsnpsnp	*	saistīt	_	_	advcl	basic	1-1	
1-14	85-87	ar	spsa	*	ar	_	_	case	basic	1-16	
1-15	88-98	saskarsmes	ncfsg5	*	saskarsme	_	_	nmod	basic	1-16	
1-16	99-106	treniņu	ncmsa1	*	treniņš	_	_	iobj	basic	1-13	
1-17	106-107	,	zc	*	,	_	_	punct	basic	1-20	
1-18	108-111	gan	cc	*	gan	_	_	cc	basic	1-20	
1-19	112-114	ar	sppd	*	ar	_	_	case	basic	1-20	
1-20	115-123	vecākiem	ncmdd1	*	vecāki	_	_	acl	basic	1-16	
1-21	123-124	,	zc	*	,	_	_	punct	basic	1-24	
1-22	125-128	gan	cc	*	gan	_	_	cc	basic	1-24	
1-23	129-138	jaunākiem	afmpdnc	*	jauns	_	_	amod	basic	1-24	
1-24	139-146	bērniem	ncmpd1	*	bērns	_	_	conj	basic	1-20	
1-25	146-147	.	zs	*	.	_	_	punct	basic	1-1	

#Text=Viņi ir lieli diplomāti, prot būt plastiski.
2-1	149-153	Viņi	pp3mpnn	*	viņš	*->1-2	*[1]	nsubj	basic	2-4	
2-2	154-156	ir	vcnipii30an	*	būt	_	_	cop	basic	2-4	
2-3	157-162	lieli	afmpnnp	*	liels	_	_	amod	basic	2-4	
2-4	163-172	diplomāti	ncmpn1	*	diplomāts	*->1-3	*[1]	root	basic	2-4	
2-5	172-173	,	zc	*	,	_	_	punct	basic	2-6	
2-6	174-178	prot	vonipt130an	*	prast	_	_	conj	basic	2-4	
2-7	179-182	būt	vcnn0ii000n	*	būt	_	_	cop	basic	2-8	
2-8	183-192	plastiski	afmpnnp	*	plastisks	_	_	xcomp	basic	2-6	
2-9	192-193	.	zs	*	.	_	_	punct	basic	2-4	

#Text=Jaunākie bērni ir ļoti dažādi, arī kaprīzi, bezatbildīgāki, nereti izlutināti.
3-1	195-203	Jaunākie	afmpnyc	*	jauns	*->2-1	*[2]	amod	basic	3-2	
3-2	204-209	bērni	ncmpn1	*	bērns	*->2-1	*[2]	nsubj	basic	3-5	
3-3	210-212	ir	vcnipii30an	*	būt	_	_	cop	basic	3-5	
3-4	213-217	ļoti	r0q	*	ļoti	_	_	advmod	basic	3-5	
3-5	218-224	dažādi	armpnnp	*	dažāds	_	_	root	basic	3-5	
3-6	224-225	,	zc	*	,	_	_	punct	basic	3-8	
3-7	226-229	arī	q	*	arī	_	_	discourse	basic	3-8	
3-8	230-237	kaprīzi	afmpnnp	*	kaprīzs	_	_	acl	basic	3-5	
3-9	237-238	,	zc	*	,	_	_	punct	basic	3-10	
3-10	239-253	bezatbildīgāki	afmpnnc	*	bezatbildīgs	_	_	conj	basic	3-8	
3-11	253-254	,	zc	*	,	_	_	punct	basic	3-13	
3-12	255-261	nereti	r0t	*	nereti	_	_	advmod	basic	3-13	
3-13	262-272	izlutināti	vmnpdmpnpsnp	*	izlutināt	_	_	conj	basic	3-8	
3-14	272-273	.	zs	*	.	_	_	punct	basic	3-5	

#Text=Viņi ir saņēmuši daudz uzmanības, piedošanas, vairāk pieraduši gan gaidīt, gan saņemt labo – tātad optimistiskāki.
4-1	275-279	Viņi	pp3mpnn	*	viņš	*->2-2	*[2]	nsubj	basic	4-3	
4-2	280-282	ir	vcnipii30an	*	būt	_	_	aux	basic	4-3	
4-3	283-291	saņēmuši	vmnpdmpnasnp	*	saņemt	_	_	root	basic	4-3	
4-4	292-297	daudz	rpq	*	daudz	_	_	advmod	basic	4-5	
4-5	298-307	uzmanības	ncfsg4	*	uzmanība	_	_	iobj	basic	4-3	
4-6	307-308	,	zc	*	,	_	_	punct	basic	4-7	
4-7	309-319	piedošanas	ncfsg4	*	piedošana	_	_	conj	basic	4-5	
4-8	319-320	,	zc	*	,	_	_	punct	basic	4-10	
4-9	321-327	vairāk	rcq	*	daudz	_	_	advmod	basic	4-10	
4-10	328-337	pieraduši	vmnpdmpnasnp	*	pierast	_	_	conj	basic	4-3	
4-11	338-341	gan	cc	*	gan	_	_	cc	basic	4-12	
4-12	342-348	gaidīt	vmnn0t3000n	*	gaidīt	_	_	ccomp	basic	4-10	
4-13	348-349	,	zc	*	,	_	_	punct	basic	4-15	
4-14	350-353	gan	cc	*	gan	_	_	cc	basic	4-15	
4-15	354-360	saņemt	vmnn0t1000n	*	saņemt	_	_	conj	basic	4-12	
4-16	361-365	labo	afmsayp	*	labs	_	_	obj	basic	4-12	
4-17	366-367	–	zd	*	–	_	_	punct	basic	4-19	
4-18	368-373	tātad	q	*	tātad	_	_	discourse	basic	4-19	
4-19	374-388	optimistiskāki	afmpnnc	*	optimistisks	_	_	conj	basic	4-3	
4-20	388-389	.	zs	*	.	_	_	punct	basic	4-3	

#Text=Daudzi piekopj “piedzīvojumu” pieeju dzīvei un viegli sāk kaut ko no jauna.
5-1	391-397	Daudzi	pi0mpnn	*	daudzi	*->2-3	*[2]	nsubj	basic	5-2	
5-2	398-405	piekopj	vmnipt130an	*	piekopt	_	_	root	basic	5-2	
5-3	406-407	“	zq	*	“	_	_	punct	basic	5-4	
5-4	407-419	piedzīvojumu	ncmpg1	*	piedzīvojums	_	_	nmod	basic	5-6	
5-5	419-420	”	zq	*	”	_	_	punct	basic	5-4	
5-6	421-427	pieeju	ncfpg4	*	pieeja	_	_	iobj	basic	5-2	
5-7	428-434	dzīvei	ncfsd5	*	dzīve	_	_	nmod	basic	5-6	
